FIPS,County Name,County State,BuyerFullName,BuyerState,BuyerCity,BuyerAddress,BuyerZIP,BuyerPurchases6MSum
1001,Autauga,AL,STONE MARTIN BUILDERS LLC,Opelika,AL,107 N 9th St Ste A,36801,54
1001,Autauga,AL,CF KL ASSETS 2019-3 LLC,Chicago,IL,320 N Sangamon St Ste 1275,60607,30
1001,Autauga,AL,HQH MONTGOMERY PROPERTIES INC,Montgomery,AL,310 Eastdale Cir,36117,15
1001,Autauga,AL,SIMPLY SOLD HOMES LLC,Wetumpka,AL,942 Wilson Rd,36092,12
1001,Autauga,AL,RIVER REGION HOME BUYERS LLC,Prattville,AL,107 W Teri Ct,36066,12
1001,Autauga,AL,TK INVESTMENT GROUP LLC,Montgomery,AL,7245 Halcyon Summit Dr,36117,11
1001,Autauga,AL,GOODWYN BUILDING CO INC,Montgomery,AL,2939 Chestnut St,36107,11
1001,Autauga,AL,MONTGOMERY REAL ESTATE BUYERS LLC,Montgomery,AL,4249 Lomac St,36106,9
1001,Autauga,AL,STONE MARTIN BUILDERS LLC,Opelika,AL,107 N 9th St,36801,6
1001,Autauga,AL,SPEAR VENTURES GROUP LLC,Pike Road,AL,22 Cherencey Ct,36064,5
1001,Autauga,AL,MI CASITA LINDA PROPERTIES LLC,Montgomery,AL,4025 Troy Hwy,36116,5
1001,Autauga,AL,SUMMIT LAND USA LLC,Surfside,FL,9429 Harding Ave,33154,4
1001,Autauga,AL,CENTRAL ALABAMA COOPERATIVE SERVICES INC,Prattville,AL,Po Box 681570,36068,3
1001,Autauga,AL,EVANS RENTAL PROPERTIES LLC,Millbrook,AL,3750 Chapman Rd,36054,3
1001,Autauga,AL,ANA 3 LLC,Las Vegas,NV,3233 S Torrey Pines Dr,89146,3
1001,Autauga,AL,ALABAMA BAPTIST RETIREMENT CENTERS INC,Prattville,AL,Po Box 681970,36068,2
1001,Autauga,AL,CC HOMES LLC,Millbrook,AL,Po Box 483,36054,2
1001,Autauga,AL,EDWARDS HOLDINGS LLC,Prattville,AL,2024 Red Hawk Rd,36067,2
1001,Autauga,AL,TL - HIGHLAND FARMS LB LLC,New York,NY,Times Square Tower,10036,2
1003,Baldwin,AL,PLANET HOME LENDING LLC,Meriden,CT,321 Research Pkwy Ste 303,6450,270
1003,Baldwin,AL,VILLAGE CAPITAL & INVESTMENT LLC,Henderson,NV,2460 Paseo Verde Pkwy Ste 110,89074,121
1003,Baldwin,AL,RCF 2 ACQUISITION TRUST,Coppell,TX,3501 Olympus Blvd Ste 500,75019,97
1003,Baldwin,AL,LENNAR HOMES OF ALABAMA LLC,Huntsville,AL,2101 Clinton Ave W Ste 202,35805,60
1003,Baldwin,AL,SOLID GROUND SALES LLC,Bradenton,FL,1767 Lakewood Ranch Blvd,34211,52
1003,Baldwin,AL,CASTLEROCK 2023 LLC,White Plains,NY,120 Bloomingdale Rd Ste 304,10605,52
1003,Baldwin,AL,HEARTLAND BUYS LLC,Bay Minette,AL,35909 Cramblitt Ln,36507,35
1003,Baldwin,AL,RCF 2 ACQUISITION TRUST,Coppell,TX,3501 Olympus Blvd,75019,27
1003,Baldwin,AL,CSA INVESTMENTS LLC,Mobile,AL,Po Box 7718,36670,18
1003,Baldwin,AL,GIBBS FAMILY HOLDINGS LLC,Roanoke,AL,1297 County Road 79,36274,16
1003,Baldwin,AL,TRUE HAVEN LLC,Winter Haven,FL,3946 Island Lakes Dr,33881,13
1003,Baldwin,AL,EKELER CAPITAL LLC,Bay Minette,AL,35909 Cramblitt Ln,36507,12
1003,Baldwin,AL,LB-IGLOO SERIES VI TRUST,Eureka,CA,323 5th St,95501,10
1003,Baldwin,AL,LIMITLESS ACQUISITION LLC,Gulf Shores,AL,Po Box 35,36547,10
1003,Baldwin,AL,SOUTHERN HOUSE BUYERS LLC,Mobile,AL,1609 Rochelle St,36693,9
1003,Baldwin,AL,BLACKSKIES LLC,Powell,OH,Po Box 44,43065,9
1003,Baldwin,AL,HEARTLAND FLIPS LLC,Bay Minette,AL,35909 Cramblitt Ln,36507,8
1003,Baldwin,AL,CHIPS-AMBERLEY LLC,Birmingham,AL,847 Bishops Ct,35242,8
1003,Baldwin,AL,SERVBANK NA,Meriden,CT,500 S Broad St Ste 100a,6450,7
1003,Baldwin,AL,ELEVATE HOMES LLC,Collierville,TN,635 Kenrose St,38017,7
1003,Baldwin,AL,TOWER COASTAL LLC,Vestavia,AL,2106 Devereux Cir,35243,7
1003,Baldwin,AL,VMC REO LLC,Greenville,SC,75 Beattie Pl,29601,7
1003,Baldwin,AL,PROMINENCE AT HOME 2023 LLC,Birmingham,AL,3821 Lorna Rd Ste 120,35244,7
1003,Baldwin,AL,T & H MITCHELL PROPERTIES DELAWARE LLC,Bowdon,GA,Po Box 280,30108,7
1003,Baldwin,AL,IRBY VENTURES LLC,Mobile,AL,3315 Demetropolis Rd Ste A,36693,7
1003,Baldwin,AL,LNM PROPERTIES LLC,Paragould,AR,Po Box 166,72451,6
1003,Baldwin,AL,LENNAR HOMES OF ALABAMA LLC,Pensacola,FL,801 W Romana St Ste A,32502,6
1003,Baldwin,AL,RAPID HOLDINGS LLC,Gardendale,AL,1119 Pecan Ave,35071,6
1003,Baldwin,AL,E H WELCH INVESTMENTS LLC,Mobile,AL,1716 Sugar Cane Ct,36695,5
1003,Baldwin,AL,FITZ RENTALS LLC,Daphne,AL,9007 Timbercreek Blvd,36527,5
1003,Baldwin,AL,TRACEY L THOMPSON AND BEVERLY J THOMPSON REVO,Magnolia Springs,AL,14154 Woodland Dr,36555,5
1003,Baldwin,AL,RIVIERA PROPERTY GROUP LLC,Boulder,CO,1942 Broadway Ste 314c,80302,5
1003,Baldwin,AL,CLEVELAND SISTERS PROPERTIES LLC,Daphne,AL,29000 Us Highway 98 Ste A201,36526,5
1003,Baldwin,AL,ALAN HOBBS PROPERTIES LLC,Durant,OK,Po Box 512,74702,5
1003,Baldwin,AL,BENCHMARK HOMES GROUP LLC,Daphne,AL,2212 Main St,36526,5
1003,Baldwin,AL,QUALIFIED EXCHANGE TITLEHOLDER SERIES A-Z LLC,Gulf Shores,AL,Po Box 3889,36547,5
1003,Baldwin,AL,IRREVOCABLE TRUST,Horse Cave,KY,1102 E Main St,42749,5
1003,Baldwin,AL,Z-10 REALTY LLC,Montgomery,AL,2225 Sagewood Dr,36117,5
1003,Baldwin,AL,HAMBY HOUSING LLC,Pensacola,FL,1007 W Chase St Apt B,32502,5
1003,Baldwin,AL,GREEN SOUTH PROPERTIES LLC,Fairhope,AL,19637 Quail Creek Dr,36532,5
1003,Baldwin,AL,WILSON TRAILERS AND REPAIR INC,Atlantic Beach,FL,37 W 8th St,32233,4
1003,Baldwin,AL,HT LAND COMPANY,Houston,TX,12219 Maple Rock Dr,77077,4
1003,Baldwin,AL,BAKER CLARK HOMES INC,Daphne,AL,6544 Via De La Rosa,36526,4
1003,Baldwin,AL,CHIPS-WEST LAGOON LLC,Birmingham,AL,847 Bishops Ct,35242,4
1003,Baldwin,AL,WOODVUE PROPERTIES LLC,Daphne,AL,Po Box 382,36526,4
1003,Baldwin,AL,MP HOLDINGS LLC,Grand Bay,AL,5188 Dawes Rd,36541,4
1003,Baldwin,AL,479 HAMILTON STREET LLC,Albany,NY,1 Fletcher Rd,12203,4
1003,Baldwin,AL,DRAKE INVESTMENTS LLC,Robertsdale,AL,Po Box 742,36567,4
1003,Baldwin,AL,GRILLED OYSTERS INC,Gulf Shores,AL,Po Box 904,36547,4
1003,Baldwin,AL,PERDIDO HOTEL PARTNERS LLC,Orange Beach,AL,27200 Perdido Beach Blvd,36561,4
1003,Baldwin,AL,JORDAN INVESTMENTS LLC,Mobile,AL,Po Box 7718,36670,4
1003,Baldwin,AL,POINT CLEAR CLUB LAND LLC,Birmingham,AL,505 20th St N Ste 1000,35203,3
1003,Baldwin,AL,BRAVO PROPERTIES LLC,Mountain Brk,AL,2844 Surrey Rd,35223,3
1003,Baldwin,AL,ERIC CRAIG HOMES INC,Summerdale,AL,16527 Honey Rd,36580,3
1003,Baldwin,AL,THERESA PIZZOTTI NORRIS REVOCABLE LIVING TRUS,Fairhope,AL,15226 County Road 13,36532,3
1003,Baldwin,AL,CK GROUP LLC,Orange Beach,AL,29235 Perdido Beach Blvd Unit Ph3,36561,3
1003,Baldwin,AL,DAXW PROPERTIES LLC,Ramer,AL,50 Mt Zion Rd,36069,3
1003,Baldwin,AL,NAPPER LAND LLC,Fairhope,AL,7328 J V Cummings Dr,36532,3
1003,Baldwin,AL,FORTIS B & D ALABAMA LLC,Gulf Shores,AL,Po Box 35,36547,3
1003,Baldwin,AL,LOWER COUNTRY RETREAT LLC,Gulf Shores,AL,300 W 12th Ave,36542,3
1003,Baldwin,AL,RAINBOW PLANTATION PARK INC,Boerne,TX,451 Menger Spgs,78006,3
1003,Baldwin,AL,BEN STEWART BUILDERS LLC,Mobile,AL,Po Box 9753,36691,3
1003,Baldwin,AL,RB HOMES LLC,Gulf Shores,AL,3641 Olde Park Rd,36542,3
1003,Baldwin,AL,ALL SOUTH HOLDINGS LLC,Calhoun,GA,Po Box 473,30703,3
1003,Baldwin,AL,KINETIC CAPITAL XXIII LLC,Summerdale,AL,14301 County Road 28,36580,3
1003,Baldwin,AL,PALM TREE REAL ESTATE HOLDING COMPANY LLC,Gulf Breeze,FL,3311 Gulf Breeze Pkwy,32563,3
1003,Baldwin,AL,WELLSANDY AL LLC,Simpsonville,SC,20 Summer Glen Dr,29681,3
1003,Baldwin,AL,BE-BOP-A-LULA LLC,Orange Beach,AL,5015 Certain Cir,36561,3
1003,Baldwin,AL,J & T DEVELOPMENTS LLC,Foley,AL,605 E Orange Ave,36535,3
1003,Baldwin,AL,COLONY PARKE ESTATES HOMEOWNERS ASSOCIATION I,Daphne,AL,26050 Equity Dr Ste A,36526,3
1003,Baldwin,AL,JA AND GL MACMICKING LIVING TRUST,Granbury,TX,1341 Highland Park Cir,76048,2
1003,Baldwin,AL,LAKE FOREST PRESERVATION INC,Daphne,AL,1 Golf Ter,36526,2
1003,Baldwin,AL,JD & COMPANY LLC,Foley,AL,7260 Riverwood Dr E,36535,2
1003,Baldwin,AL,VERANDA CAPITAL LLC,Daphne,AL,1507 Captain Oneal Dr,36526,2
1003,Baldwin,AL,MARK KEEL CONSTRUCTION LLC,Orange Beach,AL,Po Box 1683,36561,2
1003,Baldwin,AL,SERIES B-AVENT PROPERTIES LLC,Fairhope,AL,251 Burgundy Ave,36532,2
1003,Baldwin,AL,BRANTLEY PIT LLC,Dothan,AL,Po Box 1791,36302,2
1003,Baldwin,AL,GLEN LANDER LLC,Orange Beach,AL,4600 Casablanca Dr,36561,2
1003,Baldwin,AL,0619 PROPERTIES LLC,Cochran,GA,996 Coley Station Rd,31014,2
1003,Baldwin,AL,CRMK LLC,Sheridan,WY,30 N Gould St Ste R,82801,2
1003,Baldwin,AL,JUBILEE PROPERTY INVESTMENTS LLC,Daphne,AL,24039 Affirmed Ave,36526,2
1003,Baldwin,AL,CR6 LLC,Gulf Shores,AL,Po Box 35,36547,2
1003,Baldwin,AL,JESSE JAMES LLC,Summerdale,AL,402 Nw 4th St,36580,2
1003,Baldwin,AL,BOMMER PROPERTIES LLC,Belle Chasse,LA,188 Pleasant Ridge Dr,70037,2
1003,Baldwin,AL,CASA-AL LLC,Mobile,AL,1111 E I65 Service Rd S Ste 104,36606,2
1003,Baldwin,AL,LIVE OAK VILLAGE PHASE II LANDOWNERS ASSOCIAT,Orange Beach,AL,25819 Canal Rd,36561,2
1003,Baldwin,AL,SIMPLY SOUTH INVESTMENT PROPERTIES LLC,Enterprise,AL,1207 E Park Ave,36330,2
1003,Baldwin,AL,PICKERING BUILDING AND RENOVATIONS LLC,Fairhope,AL,Po Box 1961,36533,2
1003,Baldwin,AL,DAVENPORT FLP INVESTMENTS LTD,Port Neches,TX,789 South Ave,77651,2
1003,Baldwin,AL,MW PROP HOLDINGS LLC,Fairhope,AL,205 Seminole Ave,36532,2
1003,Baldwin,AL,KELLEYS WELDING & EXCAVATION INC,Foley,AL,23030 Us Highway 98,36535,2
1003,Baldwin,AL,VEM2S LLC,Elberta,AL,23683 Balsam Creek Dr,36530,2
1003,Baldwin,AL,CRISAM ASSOCIATES LLC,Palm City,FL,6136 Sw Key Deer Ln,34990,2
1003,Baldwin,AL,BAYOU ST JOHN LLC,Bay Minette,AL,215 E 1st St,36507,2
1003,Baldwin,AL,FRANCEN-ELDER FAMILY TRUST,Greeley,CO,31938 County Road 47,80631,2
1003,Baldwin,AL,LANDCO HOLDINGS LLC,Albuquerque,NM,1200 Jefferson St Ne Ste C,87110,2
1003,Baldwin,AL,SERVICEMAC LLC,Fort Mill,SC,9726 Old Bailes Rd Ste 200,29707,2
1003,Baldwin,AL,RM FAMILY LLC,Gulf Shores,AL,1545 Gulf Shores Pkwy,36542,2
1003,Baldwin,AL,WALLING HOLDINGS LLC,Argyle,TX,600 W Jeter Rd,76226,2
1003,Baldwin,AL,EH DEVELOPMENT LLC,Fairhope,AL,556 Jan Dr,36532,2
1003,Baldwin,AL,1107 INVESTMENTS LLC,Fairhope,AL,7328 J V Cummings Dr,36532,2
1003,Baldwin,AL,ASHTON HOME BUYERS LLC,Foley,AL,1102 Yellow Daisy Ln,36535,2
1003,Baldwin,AL,SIMMONS,Foley,AL,14216 River Oaks Dr,36535,2
1003,Baldwin,AL,TEN BEARS PROPERTIES LLC,Johns Creek,GA,10714 Austen Bnd,30022,2
1003,Baldwin,AL,224 HOLDINGS LLC,Spanish Fort,AL,32356 Whimbret Way,36527,2
1003,Baldwin,AL,BLUFF & BAY LLC,Fairhope,AL,17360 Polo Ridge Blvd,36532,2
1003,Baldwin,AL,CONTRACTOR LLC,Foley,AL,3786 S Mckenzie St,36535,2
1003,Baldwin,AL,POB25 LLC,Tuscaloosa,AL,701 Rice Mine Rd N,35406,2
1003,Baldwin,AL,LANDFALL LLC,Tampa,FL,11034 Carrollwood Dr,33618,2
1003,Baldwin,AL,PROPERTY LEASING LLC,Brandon,MS,Po Box 771,39043,2
1003,Baldwin,AL,OLLINGER PROPERTY MANAGEMENT LLC,Fairhope,AL,110 Volanta Ave,36532,2
1003,Baldwin,AL,DIXIE LANDING COMPANY LLC,Mobile,AL,55 Midtown Park E,36606,2
1003,Baldwin,AL,GUARD PROPERTIES LLC,Orange Beach,AL,Po Box 911,36561,2
1003,Baldwin,AL,GATESWOOD HOLDINGS LLC,Robertsdale,AL,27822 Linholm Rd,36567,2
1003,Baldwin,AL,BARS & PROPERTIES UNLIMITED INC,Colmesneil,TX,Po Box 295,75938,2
1003,Baldwin,AL,RUCKSOUTHERNLIFE TRUST,Mobile,AL,152 South St,36606,2
1003,Baldwin,AL,GOOSENECK QUALIFIED DISPOSITION IN TRUST,Flowood,MS,243 Bronson Bnd,39232,2
1003,Baldwin,AL,TIM J FOEDERER AND KATHLEEN BRIGID FOEDERER R,Murphysboro,IL,34 Getaway Ln,62966,2
1003,Baldwin,AL,RZG PROPERTIES LLC,Beaverdam,OH,11 Nachal Alexander St,45808,2
1003,Baldwin,AL,RAIN-WOOD PROPERTIES LLC,Mobile,AL,Po Box 852108,36685,2
1003,Baldwin,AL,HIGHLANDS AT FAIRHOPE VILLAGE LLC,Mountain Brk,AL,403 Cherry St,35213,2
1003,Baldwin,AL,SILVERBACK RISING LLC,Foley,AL,913 Ruisseau Dr,36535,2
1003,Baldwin,AL,CANES PROPERTIES LLC,Daphne,AL,2200 Us Highway 98 Ste 4,36526,2
1003,Baldwin,AL,CHRISTOPHER & KATHRYN HATWIG FAMILY TRUST,Colleyville,TX,5001 Westgrove Ln,76034,2
1003,Baldwin,AL,HENRY FRANKLIN BARLOW IV AND JUDY GREEN BARLO,Magnolia Springs,AL,Po Box 965,36555,2
1003,Baldwin,AL,PETER DALE SMITH AND DIANE PERRY-SMITH FAMILY,Carmel,CA,197 Del Mesa Carmel,93923,2
1003,Baldwin,AL,CTAD LLC,New Orleans,LA,95 E Park Pl,70124,2
1003,Baldwin,AL,SOUTHERN IMAGES LLC,Daphne,AL,11435 County Road 54,36526,2
1003,Baldwin,AL,MATT LUMPKINS FAMILY LLC,Fairhope,AL,224 Paddle Creek Loop,36532,2
1003,Baldwin,AL,SOUTH BALDWIN PROPERTIES LLC,Robertsdale,AL,23315 Pet Dr,36567,2
1003,Baldwin,AL,ALABAMA 1031 QEAT SERVICES LLC,Mobile,AL,2610b Dauphin St Ste 101,36606,2
1003,Baldwin,AL,SKEETS INVESTMENT PROPERTIES LLC,Stockton,AL,Po Box 285,36579,2
1003,Baldwin,AL,ARABKER HOME RENOVATION LLC,Foley,AL,820 W Section Ave,36535,2
1003,Baldwin,AL,3 SISTERS VENTURES LLC,Gulf Shores,AL,1204 W Lagoon Ave,36542,2
1003,Baldwin,AL,TRINITY LAND 3 LLC,Bay Minette,AL,Po Box 83,36507,2
1003,Baldwin,AL,MELANIE S DOBEL REVOCABLE TRUST,Madison,MS,105 St Charles Dr,39110,2
1003,Baldwin,AL,INDY REALTY LLC,Indianapolis,IN,5252 Fall Creek Rd,46220,2
1003,Baldwin,AL,EXTRAVAGANZA PROPERTY MANAGEMENT LLC,Wading River,NY,128 Calverton Ct,11792,2
1003,Baldwin,AL,F & S GROUP SERVICES LLC,Lilburn,GA,4467 Newport View Ct Sw,30047,2
1003,Baldwin,AL,TOWER COASTAL LLC,Vestavia,AL,2106 Devereux Cir Ste 150,35243,2
1003,Baldwin,AL,COSTA PROPERTIES LLC,Fairhope,AL,119 Professional Park Dr,36532,2
1003,Baldwin,AL,WILLIAM E AND DEBRA K JOHNSON FAMILY TRUST,Maricopa,AZ,42863 W Misty Morning Ln,85138,2
1003,Baldwin,AL,SIGNATURE LAND VENTURES LLC,Brier,WA,23721 34th Ave W,98036,2
1003,Baldwin,AL,CMDJ CONSTRUCTION LLC,Orange Beach,AL,5007 Wilson Blvd,36561,2
1003,Baldwin,AL,SEA GLASS PROPERTIES LLC,Elberta,AL,13393 Breman Rd,36530,2
1003,Baldwin,AL,BODACIOUS BUILDERS LLC,Bay Minette,AL,42151 Bayou Rd,36507,2
1003,Baldwin,AL,ROPERS PROPERTIES LLC,Lillian,AL,13050 6th St,36549,2
1003,Baldwin,AL,R & P DEVELOPMENT LLC,Elberta,AL,9406 Miflin Creek Rd,36530,2
1003,Baldwin,AL,FOURTUNATE PROPERTIES LLC,Jones,OK,627 Louisiana St,73049,2
1003,Baldwin,AL,SCHRADER HOMES LLC,Benton,AR,123 N East St,72015,2
1003,Baldwin,AL,CRIMSON ATTAINMENT LLC,Bay Minette,AL,40170 State Highway 59,36507,2
1003,Baldwin,AL,IRA AND PATRICIA HOWARD FAMILY REVOCABLE LIVI,Ponca City,OK,733 Edgewood Dr,74604,2
1007,Bibb,AL,SPARTAN INVEST LLC,Birmingham,AL,2015 3rd Ave N,35203,43
1007,Bibb,AL,OLIT 2024-HB2 ALTERNATIVE HOLDINGS LLC,West Palm Beach,FL,1661 Worthington Rd Ste 100,33409,10
1007,Bibb,AL,STEPHENS 5 LLC,Brierfield,AL,11278 Montevallo Rd,35035,7
1007,Bibb,AL,5 STAR LLC,Birmingham,AL,5613 8th Ct S,35212,5
1007,Bibb,AL,ACT FIRST FLIPS LLC,Northport,AL,11271 Dooley Cir,35475,4
