kind,category,item,unit,qty_driver,budget_price,standard_price,upgrade_price,standard_product,standard_link,budget_product,budget_link,upgrade_product,upgrade_link,note
sku-classes,Roofing,Shingles,bundle,"roof sqft (living x 1.1) / 100 x 3, +1 sq waste",43.97,47.97,,Timberline HDZ Charcoal Algae Resistant Laminated High Definition Shingles (33.33 sq. ft. per Bundle),https://apionline.homedepot.com/p/GAF-Timberline-HDZ-Charcoal-Algae-Resistant-Laminated-High-Definition-Shingles-33-33-sq-ft-per-Bundle-0489180/309755006,Royal Sovereign Charcoal Algae Resistant 3-Tab Roofing Shingles (33.33 sq. ft. per. Bundle) (26-Pieces),https://apionline.homedepot.com/p/GAF-Royal-Sovereign-Charcoal-Algae-Resistant-3-Tab-Roofing-Shingles-33-33-sq-ft-per-Bundle-26-Pieces-0201180/100040028,,,Budget 3-tab only for rentals; retail exits standardize on architectural
sku-fixed,Roofing,Synthetic underlayment,roll,1 per 10 squares,,119.0,,FeltBuster 1000 sq. ft. Synthetic Roofing Underlayment Roll,https://apionline.homedepot.com/p/GAF-FeltBuster-1000-sq-ft-Synthetic-Roofing-Underlayment-Roll-0973/205035868,,,,,
sku-fixed,Roofing,Drip edge 10 ft,each,perimeter lf / 10,,8.48,,4-1/2 in. x 10 ft. Drip Edge Galv Green,https://apionline.homedepot.com/p/Union-Corrugating-4-1-2-in-x-10-ft-Drip-Edge-Galv-Green-ST-TS-1000-820/327203372,,,,,
sku-fixed,Roofing,Ridge cap,bundle,ridge lf / 25,,59.97,,Seal-A-Ridge Charcoal Hip and Ridge Cap Roofing Shingles (25 lin. ft. per Bundle),https://apionline.homedepot.com/p/GAF-Seal-A-Ridge-Charcoal-Hip-and-Ridge-Cap-Roofing-Shingles-25-lin-ft-per-Bundle-0850180/206593176,,,,,
sku-fixed,Roofing,OSB 7/16 sheathing,sheet,"rot allowance, 8-10 per reroof",,28.0,,15/32 in. x 4 ft. x 8 ft Sheathing Plywood ( Actual: 0.438 in. x 48 in. x 96 in.),https://apionline.homedepot.com/p/15-32-in-x-4-ft-x-8-ft-Sheathing-Plywood-Actual-0-438-in-x-48-in-x-96-in-20159/206827282,,,,,
sku-fixed,Roofing,Roofing nails (coil),box,1 per 15 squares,,49.98,,"1-1/4 in. x 0.120-Gauge 15° Smooth Shank Electrogalvanized Wire Collated Coil Roofing Nails 7,200 per Box",https://apionline.homedepot.com/p/Grip-Rite-1-1-4-in-x-0-120-Gauge-15-Smooth-Shank-Electrogalvanized-Wire-Collated-Coil-Roofing-Nails-7-200-per-Box-GRCR3DGAL/100394342,,,,,
sku-fixed,Roofing,Pipe boots,each,1 per plumbing stack,,20.98,,2 in. Lead Roof Boot No Caulk Vent Pipe Flashing,https://apionline.homedepot.com/p/Master-Flow-2-in-Lead-Roof-Boot-No-Caulk-Vent-Pipe-Flashing-LRF2/100324454,,,,,
sku-fixed,Structure and site,PT 2x8x12,each,sill/deck framing repair,,27.18,,2 in. x 8 in. x 16 ft. #2 Prime Ground Contact Pressure-Treated Southern Yellow Pine Lumber,https://apionline.homedepot.com/p/2-in-x-8-in-x-16-ft-2-Prime-Ground-Contact-Pressure-Treated-Southern-Yellow-Pine-Lumber-107523/206937454,,,,,
sku-fixed,Structure and site,PT 4x4x8 post,each,deck/porch posts,,19.38,,4 in. x 4 in. x 10 ft. #2 Pressure-Treated Ground Contact Southern Pine Wood Post,https://apionline.homedepot.com/p/4-in-x-4-in-x-10-ft-2-Pressure-Treated-Ground-Contact-Southern-Pine-Wood-Post-4220254/100025396,,,,,
sku-fixed,Structure and site,PT 5/4 deck board 12 ft,each,deck sqft / 5.5,,17.98,,ArmorGuard 1 in. x 6 in. x 8 ft. Coastal Gray Square Edge Capped Composite Deck Board,https://apionline.homedepot.com/p/Fiberon-ArmorGuard-1-in-x-6-in-x-8-ft-Coastal-Gray-Square-Edge-Capped-Composite-Deck-Board-BRDAG-CSTG-8/324794510,,,,,
